MerchantKey,MerchantID,MerchantCategory,BusinessSize,State,City,SettlementCycle,PartnerSince,MerchantTenure
41,MER00041,Utilities,Medium,Uttar Pradesh,Lucknow,T+2,2026,0
42,MER00042,Utilities,Medium,Telangana,Hyderabad,T+3,2024,2
43,MER00043,Government,Small,West Bengal,Durgapur,T+1,2024,2
44,MER00044,Utilities,Small,Tamil Nadu,Chennai,T+1,2026,0
45,MER00045,Travel,Small,Karnataka,Mangaluru,T+2,2021,5
46,MER00046,Retail,Small,Gujarat,Ahmedabad,T+1,2024,2
47,MER00047,Travel,Small,Karnataka,Mangaluru,T+1,2026,0
48,MER00048,E-Commerce,Enterprise,Delhi,New Delhi,T+1,2025,1
49,MER00049,Travel,Enterprise,Gujarat,Surat,T+1,2022,4
50,MER00050,Education,Small,Uttar Pradesh,Noida,T+1,2021,5
51,MER00051,E-Commerce,Enterprise,Uttar Pradesh,Lucknow,T+1,2022,4
52,MER00052,Food & Dining,Small,Tamil Nadu,Coimbatore,T+1,2025,1
53,MER00053,Healthcare,Small,Telangana,Warangal,T+2,2026,0
54,MER00054,Food & Dining,Small,Karnataka,Mysuru,T+1,2021,5
55,MER00055,Fuel,Medium,West Bengal,Kolkata,T+2,2026,0
56,MER00056,Food & Dining,Small,Delhi,New Delhi,T+1,2026,0
57,MER00057,Utilities,Small,Telangana,Warangal,T+1,2021,5
58,MER00058,E-Commerce,Small,West Bengal,Siliguri,T+2,2025,1
59,MER00059,Fuel,Medium,Rajasthan,Jodhpur,T+1,2026,0
60,MER00060,Food & Dining,Small,Maharashtra,Pune,T+2,2023,3
61,MER00061,Healthcare,Small,Uttar Pradesh,Noida,T+1,2024,2
62,MER00062,Food & Dining,Small,West Bengal,Durgapur,T+1,2023,3
63,MER00063,E-Commerce,Medium,Maharashtra,Mumbai,T+1,2025,1
64,MER00064,Entertainment,Medium,Maharashtra,Mumbai,T+1,2025,1
65,MER00065,Food & Dining,Small,Delhi,New Delhi,T+1,2023,3
66,MER00066,E-Commerce,Medium,Telangana,Hyderabad,T+2,2020,6
67,MER00067,Healthcare,Small,Maharashtra,Pune,T+1,2025,1
68,MER00068,Retail,Medium,Rajasthan,Udaipur,T+2,2019,7
69,MER00069,Food & Dining,Medium,Uttar Pradesh,Lucknow,T+2,2024,2
70,MER00070,Utilities,Small,Uttar Pradesh,Kanpur,T+1,2026,0
71,MER00071,E-Commerce,Small,Uttar Pradesh,Noida,T+1,2024,2
72,MER00072,Education,Medium,Uttar Pradesh,Lucknow,T+2,2026,0
73,MER00073,E-Commerce,Enterprise,Delhi,New Delhi,T+2,2022,4
74,MER00074,Retail,Small,Tamil Nadu,Madurai,T+1,2024,2
75,MER00075,E-Commerce,Small,Gujarat,Vadodara,T+1,2025,1
76,MER00076,E-Commerce,Small,Delhi,New Delhi,T+3,2021,5
77,MER00077,Retail,Small,Tamil Nadu,Madurai,T+1,2022,4
78,MER00078,E-Commerce,Enterprise,Gujarat,Surat,T+1,2021,5
79,MER00079,E-Commerce,Small,Maharashtra,Mumbai,T+2,2024,2
80,MER00080,E-Commerce,Small,Rajasthan,Jodhpur,T+2,2025,1
81,MER00081,E-Commerce,Small,Rajasthan,Jaipur,T+1,2022,4
82,MER00082,Education,Small,Karnataka,Mysuru,T+1,2025,1
83,MER00083,E-Commerce,Small,Delhi,New Delhi,T+1,2024,2
84,MER00084,Fuel,Small,Rajasthan,Jodhpur,T+1,2025,1
85,MER00085,Healthcare,Enterprise,Maharashtra,Pune,T+1,2024,2
86,MER00086,E-Commerce,Medium,Tamil Nadu,Coimbatore,T+2,2021,5
87,MER00087,Food & Dining,Medium,Kerala,Thiruvananthapuram,T+2,2026,0
88,MER00088,Healthcare,Medium,Kerala,Kochi,T+2,2022,4
89,MER00089,Retail,Small,Karnataka,Bengaluru,T+1,2022,4
90,MER00090,Retail,Small,Kerala,Kochi,T+2,2022,4
91,MER00091,Retail,Small,West Bengal,Durgapur,T+2,2024,2
92,MER00092,Entertainment,Medium,Uttar Pradesh,Lucknow,T+1,2024,2
93,MER00093,Entertainment,Small,Uttar Pradesh,Kanpur,T+1,2024,2
94,MER00094,Fuel,Enterprise,Delhi,New Delhi,T+1,2025,1
95,MER00095,Retail,Medium,Tamil Nadu,Chennai,T+1,2026,0
96,MER00096,Education,Enterprise,Telangana,Hyderabad,T+1,2021,5
97,MER00097,Retail,Medium,Delhi,New Delhi,T+1,2026,0
98,MER00098,Food & Dining,Small,Tamil Nadu,Madurai,T+1,2025,1
99,MER00099,Retail,Medium,Tamil Nadu,Madurai,T+2,2022,4
100,MER00100,E-Commerce,Medium,Maharashtra,Mumbai,T+1,2026,0
101,MER00101,Travel,Small,Delhi,New Delhi,T+2,2021,5
102,MER00102,Government,Small,Uttar Pradesh,Kanpur,T+2,2024,2
103,MER00103,E-Commerce,Small,Rajasthan,Jodhpur,T+1,2026,0
104,MER00104,Fuel,Small,Gujarat,Vadodara,T+1,2022,4
105,MER00105,Healthcare,Small,Uttar Pradesh,Kanpur,T+1,2026,0
106,MER00106,Utilities,Small,Tamil Nadu,Chennai,T+1,2026,0
107,MER00107,E-Commerce,Small,Maharashtra,Mumbai,T+1,2026,0
108,MER00108,Healthcare,Small,Tamil Nadu,Coimbatore,T+1,2021,5
109,MER00109,Fuel,Medium,Karnataka,Mysuru,T+2,2022,4
110,MER00110,Retail,Small,Telangana,Hyderabad,T+1,2026,0
111,MER00111,Healthcare,Small,Maharashtra,Pune,T+1,2026,0
112,MER00112,Utilities,Small,Uttar Pradesh,Kanpur,T+1,2022,4
113,MER00113,Food & Dining,Small,Maharashtra,Mumbai,T+1,2025,1
114,MER00114,Education,Small,Uttar Pradesh,Lucknow,T+2,2026,0
115,MER00115,Travel,Small,Kerala,Kozhikode,T+3,2024,2
116,MER00116,Fuel,Small,Uttar Pradesh,Kanpur,T+2,2026,0
117,MER00117,Retail,Small,Tamil Nadu,Chennai,T+1,2025,1
118,MER00118,Fuel,Medium,Rajasthan,Udaipur,T+1,2026,0
119,MER00119,Food & Dining,Medium,Uttar Pradesh,Lucknow,T+1,2026,0
120,MER00120,Education,Small,Maharashtra,Mumbai,T+3,2023,3
121,MER00121,Food & Dining,Medium,Rajasthan,Udaipur,T+3,2026,0
122,MER00122,Healthcare,Medium,Tamil Nadu,Coimbatore,T+2,2026,0
123,MER00123,Entertainment,Enterprise,Gujarat,Vadodara,T+1,2021,5
124,MER00124,Food & Dining,Enterprise,Maharashtra,Nagpur,T+1,2025,1
125,MER00125,E-Commerce,Small,Uttar Pradesh,Lucknow,T+2,2024,2
126,MER00126,Retail,Small,Delhi,New Delhi,T+2,2022,4
127,MER00127,Food & Dining,Medium,Gujarat,Surat,T+1,2022,4
128,MER00128,Food & Dining,Medium,Maharashtra,Nagpur,T+1,2020,6
129,MER00129,Fuel,Medium,Maharashtra,Nagpur,T+1,2020,6
130,MER00130,E-Commerce,Small,Karnataka,Mangaluru,T+1,2026,0
131,MER00131,Government,Enterprise,Karnataka,Bengaluru,T+1,2023,3
132,MER00132,E-Commerce,Medium,Karnataka,Mangaluru,T+2,2022,4
133,MER00133,E-Commerce,Small,Delhi,New Delhi,T+1,2025,1
134,MER00134,Entertainment,Small,Uttar Pradesh,Kanpur,T+1,2026,0
135,MER00135,Government,Medium,Tamil Nadu,Chennai,T+2,2025,1
136,MER00136,Fuel,Small,Kerala,Thiruvananthapuram,T+1,2025,1
137,MER00137,Retail,Small,Rajasthan,Udaipur,T+2,2020,6
138,MER00138,Retail,Medium,Delhi,New Delhi,T+1,2024,2
139,MER00139,Food & Dining,Medium,Maharashtra,Pune,T+1,2021,5
140,MER00140,Retail,Small,Delhi,New Delhi,T+3,2024,2
141,MER00141,Retail,Small,Delhi,New Delhi,T+2,2023,3
142,MER00142,E-Commerce,Small,Maharashtra,Nagpur,T+1,2020,6
143,MER00143,Government,Small,Kerala,Thiruvananthapuram,T+1,2025,1
144,MER00144,Food & Dining,Small,Rajasthan,Jaipur,T+1,2026,0
145,MER00145,Healthcare,Small,Tamil Nadu,Madurai,T+2,2023,3
146,MER00146,E-Commerce,Small,Telangana,Warangal,T+2,2022,4
147,MER00147,E-Commerce,Small,Karnataka,Bengaluru,T+1,2022,4
148,MER00148,Retail,Small,Kerala,Kochi,T+1,2021,5
149,MER00149,Retail,Medium,Karnataka,Mysuru,T+1,2026,0
150,MER00150,Fuel,Small,Tamil Nadu,Coimbatore,T+2,2024,2
151,MER00151,E-Commerce,Small,Kerala,Thiruvananthapuram,T+1,2025,1
152,MER00152,Fuel,Small,Maharashtra,Mumbai,T+3,2023,3
153,MER00153,Retail,Small,Rajasthan,Jaipur,T+1,2023,3
154,MER00154,Fuel,Enterprise,Tamil Nadu,Chennai,T+1,2025,1
155,MER00155,Food & Dining,Medium,Gujarat,Ahmedabad,T+1,2020,6
156,MER00156,Utilities,Small,Kerala,Kochi,T+1,2026,0
157,MER00157,Food & Dining,Small,Uttar Pradesh,Noida,T+1,2022,4
158,MER00158,Government,Small,Tamil Nadu,Coimbatore,T+1,2022,4
159,MER00159,Food & Dining,Small,Gujarat,Surat,T+2,2023,3
160,MER00160,Food & Dining,Enterprise,Rajasthan,Jaipur,T+1,2020,6
161,MER00161,Retail,Enterprise,Karnataka,Bengaluru,T+1,2024,2
162,MER00162,Government,Medium,Maharashtra,Nagpur,T+1,2026,0
163,MER00163,Entertainment,Small,Maharashtra,Mumbai,T+1,2021,5
164,MER00164,Retail,Medium,Karnataka,Bengaluru,T+2,2023,3
165,MER00165,Entertainment,Small,Rajasthan,Udaipur,T+1,2022,4
166,MER00166,Healthcare,Medium,Maharashtra,Pune,T+1,2021,5
167,MER00167,Travel,Small,Karnataka,Mysuru,T+1,2022,4
168,MER00168,E-Commerce,Small,Maharashtra,Pune,T+1,2026,0
169,MER00169,Travel,Small,Karnataka,Mangaluru,T+1,2025,1
170,MER00170,Education,Small,Maharashtra,Nagpur,T+1,2026,0
171,MER00171,Food & Dining,Small,Maharashtra,Pune,T+1,2026,0
172,MER00172,Retail,Small,Gujarat,Ahmedabad,T+1,2022,4
173,MER00173,Food & Dining,Small,Maharashtra,Nagpur,T+1,2026,0
174,MER00174,Utilities,Medium,Maharashtra,Nagpur,T+1,2025,1
175,MER00175,Healthcare,Small,West Bengal,Kolkata,T+3,2026,0
176,MER00176,E-Commerce,Small,Delhi,New Delhi,T+2,2024,2
177,MER00177,Government,Medium,Telangana,Warangal,T+3,2026,0
178,MER00178,Retail,Medium,Karnataka,Bengaluru,T+1,2023,3
179,MER00179,Food & Dining,Small,Maharashtra,Mumbai,T+1,2020,6
180,MER00180,Entertainment,Small,Maharashtra,Pune,T+3,2024,2
181,MER00181,Fuel,Medium,Karnataka,Mangaluru,T+1,2022,4
182,MER00182,E-Commerce,Small,West Bengal,Durgapur,T+1,2025,1
183,MER00183,Fuel,Medium,Tamil Nadu,Madurai,T+1,2025,1
184,MER00184,Utilities,Small,Tamil Nadu,Coimbatore,T+1,2025,1
185,MER00185,Retail,Medium,Gujarat,Ahmedabad,T+2,2026,0
186,MER00186,Utilities,Small,Delhi,New Delhi,T+2,2025,1
187,MER00187,E-Commerce,Enterprise,Tamil Nadu,Chennai,T+2,2021,5
188,MER00188,Travel,Small,Rajasthan,Jodhpur,T+1,2022,4
189,MER00189,E-Commerce,Medium,Delhi,New Delhi,T+1,2025,1
190,MER00190,E-Commerce,Medium,Gujarat,Surat,T+2,2024,2
191,MER00191,Entertainment,Small,West Bengal,Durgapur,T+2,2019,7
192,MER00192,Utilities,Medium,Maharashtra,Mumbai,T+2,2021,5
193,MER00193,Retail,Small,Uttar Pradesh,Kanpur,T+2,2022,4
194,MER00194,Travel,Small,Karnataka,Mysuru,T+2,2025,1
195,MER00195,Retail,Enterprise,Tamil Nadu,Chennai,T+1,2024,2
196,MER00196,Retail,Medium,Maharashtra,Nagpur,T+1,2023,3
197,MER00197,Fuel,Small,West Bengal,Durgapur,T+1,2022,4
198,MER00198,Fuel,Medium,Tamil Nadu,Madurai,T+1,2024,2
199,MER00199,Retail,Enterprise,Uttar Pradesh,Lucknow,T+1,2025,1
200,MER00200,Entertainment,Medium,Maharashtra,Mumbai,T+1,2025,1
201,MER00201,Retail,Small,Gujarat,Ahmedabad,T+1,2026,0
202,MER00202,Utilities,Small,Uttar Pradesh,Kanpur,T+1,2024,2
203,MER00203,Government,Small,West Bengal,Siliguri,T+1,2025,1
204,MER00204,Education,Small,Maharashtra,Pune,T+1,2026,0
205,MER00205,Education,Small,Rajasthan,Udaipur,T+1,2026,0
206,MER00206,E-Commerce,Medium,Karnataka,Mysuru,T+2,2026,0
207,MER00207,Retail,Enterprise,Delhi,New Delhi,T+1,2021,5
208,MER00208,Entertainment,Medium,West Bengal,Siliguri,T+1,2026,0
209,MER00209,E-Commerce,Small,Telangana,Warangal,T+2,2019,7
210,MER00210,Retail,Small,Telangana,Hyderabad,T+3,2021,5
211,MER00211,Government,Medium,Maharashtra,Nagpur,T+1,2026,0
212,MER00212,E-Commerce,Small,Gujarat,Ahmedabad,T+1,2023,3
213,MER00213,Travel,Small,Tamil Nadu,Coimbatore,T+1,2022,4
214,MER00214,Fuel,Small,West Bengal,Siliguri,T+1,2021,5
215,MER00215,Travel,Small,Karnataka,Mysuru,T+2,2026,0
216,MER00216,Healthcare,Medium,Kerala,Kochi,T+1,2025,1
217,MER00217,Travel,Small,Tamil Nadu,Coimbatore,T+1,2025,1
218,MER00218,Retail,Small,Gujarat,Surat,T+2,2023,3
219,MER00219,Retail,Small,Delhi,New Delhi,T+1,2024,2
220,MER00220,Entertainment,Medium,Tamil Nadu,Madurai,T+1,2026,0
221,MER00221,Retail,Medium,Maharashtra,Pune,T+1,2024,2
222,MER00222,Fuel,Small,Uttar Pradesh,Lucknow,T+1,2026,0
223,MER00223,Retail,Enterprise,Telangana,Warangal,T+1,2022,4
224,MER00224,Food & Dining,Small,Telangana,Hyderabad,T+2,2025,1
225,MER00225,Retail,Small,Karnataka,Mysuru,T+3,2024,2
226,MER00226,Retail,Enterprise,Rajasthan,Jaipur,T+1,2024,2
227,MER00227,Healthcare,Enterprise,Uttar Pradesh,Lucknow,T+1,2021,5
228,MER00228,Healthcare,Small,Telangana,Warangal,T+1,2019,7
229,MER00229,E-Commerce,Small,Maharashtra,Nagpur,T+1,2025,1
230,MER00230,Fuel,Enterprise,Gujarat,Vadodara,T+2,2019,7
231,MER00231,Entertainment,Small,West Bengal,Durgapur,T+2,2026,0
232,MER00232,Food & Dining,Enterprise,Uttar Pradesh,Lucknow,T+1,2023,3
233,MER00233,Government,Medium,West Bengal,Kolkata,T+1,2025,1
234,MER00234,Food & Dining,Medium,Telangana,Hyderabad,T+1,2025,1
235,MER00235,Retail,Small,Gujarat,Vadodara,T+2,2026,0
236,MER00236,Entertainment,Small,Tamil Nadu,Madurai,T+1,2020,6
237,MER00237,E-Commerce,Medium,Karnataka,Mysuru,T+1,2025,1
238,MER00238,E-Commerce,Medium,Delhi,New Delhi,T+2,2024,2
239,MER00239,Food & Dining,Medium,Tamil Nadu,Coimbatore,T+1,2022,4
240,MER00240,Retail,Medium,West Bengal,Durgapur,T+1,2023,3
241,MER00241,Retail,Small,Maharashtra,Pune,T+1,2022,4
242,MER00242,Retail,Small,Delhi,New Delhi,T+2,2025,1
243,MER00243,Government,Small,Maharashtra,Nagpur,T+2,2023,3
244,MER00244,Utilities,Enterprise,Telangana,Hyderabad,T+1,2025,1
245,MER00245,E-Commerce,Small,West Bengal,Kolkata,T+1,2023,3
246,MER00246,Food & Dining,Medium,Karnataka,Bengaluru,T+3,2019,7
247,MER00247,Fuel,Small,Kerala,Kozhikode,T+3,2020,6
248,MER00248,Fuel,Small,Kerala,Kochi,T+1,2024,2
249,MER00249,Retail,Small,Karnataka,Bengaluru,T+1,2026,0
250,MER00250,Retail,Medium,Rajasthan,Udaipur,T+1,2021,5
251,MER00251,Retail,Medium,Uttar Pradesh,Noida,T+1,2022,4
252,MER00252,E-Commerce,Small,Maharashtra,Pune,T+2,2020,6
253,MER00253,Utilities,Small,Gujarat,Ahmedabad,T+1,2026,0
254,MER00254,E-Commerce,Small,West Bengal,Siliguri,T+1,2024,2
255,MER00255,Food & Dining,Small,Maharashtra,Pune,T+1,2024,2
256,MER00256,Retail,Small,Gujarat,Ahmedabad,T+1,2025,1
257,MER00257,Entertainment,Enterprise,Maharashtra,Mumbai,T+1,2021,5
258,MER00258,Retail,Medium,Gujarat,Vadodara,T+1,2023,3
259,MER00259,Fuel,Medium,Karnataka,Mysuru,T+2,2023,3
260,MER00260,Retail,Enterprise,Maharashtra,Pune,T+2,2025,1
261,MER00261,Retail,Small,Tamil Nadu,Coimbatore,T+1,2022,4
262,MER00262,Food & Dining,Small,Uttar Pradesh,Noida,T+2,2022,4
263,MER00263,Retail,Small,Gujarat,Vadodara,T+2,2021,5
264,MER00264,E-Commerce,Small,Telangana,Hyderabad,T+2,2025,1
265,MER00265,Fuel,Small,Telangana,Hyderabad,T+2,2021,5
266,MER00266,Entertainment,Small,Delhi,New Delhi,T+2,2024,2
267,MER00267,Fuel,Medium,Tamil Nadu,Madurai,T+1,2024,2
268,MER00268,Utilities,Small,Maharashtra,Pune,T+1,2022,4
269,MER00269,Utilities,Small,Tamil Nadu,Madurai,T+1,2021,5
270,MER00270,Government,Medium,Karnataka,Mangaluru,T+1,2025,1
271,MER00271,Retail,Small,Gujarat,Surat,T+1,2021,5
272,MER00272,Retail,Small,Uttar Pradesh,Kanpur,T+2,2026,0
273,MER00273,Food & Dining,Enterprise,Maharashtra,Nagpur,T+1,2026,0
274,MER00274,Retail,Medium,Karnataka,Mangaluru,T+2,2025,1
275,MER00275,Retail,Small,Tamil Nadu,Coimbatore,T+1,2025,1
276,MER00276,Healthcare,Small,Tamil Nadu,Coimbatore,T+1,2025,1
277,MER00277,Government,Medium,West Bengal,Siliguri,T+1,2026,0
278,MER00278,E-Commerce,Small,Telangana,Hyderabad,T+1,2024,2
279,MER00279,Retail,Small,Tamil Nadu,Chennai,T+1,2024,2
280,MER00280,Retail,Small,Delhi,New Delhi,T+1,2024,2
281,MER00281,Retail,Medium,Kerala,Kozhikode,T+2,2019,7
282,MER00282,Fuel,Small,Gujarat,Ahmedabad,T+1,2025,1
283,MER00283,Government,Small,Uttar Pradesh,Noida,T+2,2025,1
284,MER00284,Travel,Small,Maharashtra,Mumbai,T+3,2025,1
285,MER00285,E-Commerce,Small,Delhi,New Delhi,T+2,2021,5
286,MER00286,E-Commerce,Enterprise,Delhi,New Delhi,T+2,2026,0
287,MER00287,Healthcare,Small,Uttar Pradesh,Noida,T+2,2024,2
288,MER00288,Fuel,Small,Maharashtra,Nagpur,T+1,2024,2
289,MER00289,Fuel,Small,Karnataka,Mangaluru,T+1,2025,1
290,MER00290,Fuel,Enterprise,Uttar Pradesh,Lucknow,T+1,2023,3
291,MER00291,Retail,Small,Gujarat,Ahmedabad,T+2,2026,0
292,MER00292,Fuel,Small,Rajasthan,Jaipur,T+2,2024,2
293,MER00293,Utilities,Small,Uttar Pradesh,Kanpur,T+1,2026,0
294,MER00294,Healthcare,Medium,Delhi,New Delhi,T+2,2025,1
295,MER00295,Retail,Small,Karnataka,Bengaluru,T+2,2024,2
296,MER00296,Healthcare,Small,Karnataka,Bengaluru,T+2,2024,2
297,MER00297,Government,Small,Gujarat,Ahmedabad,T+1,2020,6
298,MER00298,E-Commerce,Enterprise,Uttar Pradesh,Kanpur,T+1,2026,0
299,MER00299,Food & Dining,Medium,Delhi,New Delhi,T+1,2026,0
300,MER00300,Healthcare,Small,Maharashtra,Pune,T+1,2023,3
301,MER00301,Travel,Small,Delhi,New Delhi,T+1,2021,5
302,MER00302,E-Commerce,Small,Uttar Pradesh,Lucknow,T+1,2025,1
303,MER00303,Retail,Small,Karnataka,Bengaluru,T+1,2026,0
304,MER00304,Fuel,Small,Gujarat,Ahmedabad,T+1,2021,5
305,MER00305,E-Commerce,Medium,Maharashtra,Pune,T+2,2024,2
306,MER00306,Food & Dining,Small,Rajasthan,Jaipur,T+2,2021,5
307,MER00307,Retail,Small,Uttar Pradesh,Kanpur,T+1,2022,4
308,MER00308,E-Commerce,Medium,Karnataka,Mangaluru,T+1,2020,6
309,MER00309,Retail,Enterprise,Gujarat,Surat,T+2,2026,0
310,MER00310,Food & Dining,Medium,Kerala,Kozhikode,T+1,2024,2
311,MER00311,E-Commerce,Small,Uttar Pradesh,Lucknow,T+1,2023,3
312,MER00312,Food & Dining,Small,Tamil Nadu,Coimbatore,T+2,2020,6
313,MER00313,Food & Dining,Small,Karnataka,Bengaluru,T+1,2026,0
314,MER00314,Healthcare,Small,Tamil Nadu,Madurai,T+1,2025,1
315,MER00315,E-Commerce,Small,Delhi,New Delhi,T+1,2020,6
316,MER00316,Retail,Small,Rajasthan,Jodhpur,T+2,2022,4
317,MER00317,Fuel,Small,Kerala,Thiruvananthapuram,T+1,2022,4
318,MER00318,Utilities,Medium,Uttar Pradesh,Lucknow,T+1,2019,7
319,MER00319,Government,Small,Maharashtra,Mumbai,T+1,2023,3
320,MER00320,Retail,Medium,Maharashtra,Nagpur,T+1,2023,3
321,MER00321,Food & Dining,Enterprise,Gujarat,Ahmedabad,T+1,2025,1
322,MER00322,Retail,Small,Kerala,Kozhikode,T+2,2021,5
323,MER00323,E-Commerce,Medium,Telangana,Hyderabad,T+1,2024,2
324,MER00324,Utilities,Small,West Bengal,Kolkata,T+1,2023,3
325,MER00325,Travel,Small,Delhi,New Delhi,T+1,2023,3
326,MER00326,Retail,Small,Maharashtra,Nagpur,T+1,2023,3
327,MER00327,Utilities,Enterprise,Tamil Nadu,Chennai,T+1,2026,0
328,MER00328,E-Commerce,Enterprise,Maharashtra,Nagpur,T+1,2021,5
329,MER00329,E-Commerce,Enterprise,Maharashtra,Pune,T+1,2026,0
330,MER00330,Food & Dining,Small,Uttar Pradesh,Lucknow,T+2,2022,4
331,MER00331,Retail,Small,Karnataka,Bengaluru,T+1,2026,0
332,MER00332,Travel,Small,Kerala,Thiruvananthapuram,T+1,2025,1
333,MER00333,Fuel,Small,West Bengal,Durgapur,T+1,2026,0
334,MER00334,Fuel,Medium,Maharashtra,Mumbai,T+1,2022,4
335,MER00335,E-Commerce,Medium,Gujarat,Surat,T+1,2021,5
336,MER00336,Utilities,Small,Maharashtra,Mumbai,T+2,2026,0
337,MER00337,Utilities,Medium,Tamil Nadu,Chennai,T+1,2023,3
338,MER00338,Utilities,Medium,West Bengal,Siliguri,T+1,2023,3
339,MER00339,Entertainment,Small,Uttar Pradesh,Kanpur,T+1,2023,3
340,MER00340,Retail,Small,Delhi,New Delhi,T+3,2026,0
341,MER00341,Food & Dining,Medium,Rajasthan,Jodhpur,T+1,2023,3
342,MER00342,Healthcare,Small,Maharashtra,Pune,T+1,2024,2
343,MER00343,Government,Medium,Delhi,New Delhi,T+2,2026,0
344,MER00344,Fuel,Small,Kerala,Thiruvananthapuram,T+2,2021,5
345,MER00345,Healthcare,Small,Rajasthan,Jaipur,T+2,2023,3
346,MER00346,Food & Dining,Medium,Gujarat,Vadodara,T+1,2025,1
347,MER00347,Fuel,Medium,Uttar Pradesh,Lucknow,T+1,2024,2
348,MER00348,E-Commerce,Medium,West Bengal,Kolkata,T+1,2025,1
349,MER00349,Food & Dining,Enterprise,West Bengal,Kolkata,T+1,2026,0
350,MER00350,Entertainment,Small,Karnataka,Mysuru,T+1,2023,3
351,MER00351,Entertainment,Enterprise,Kerala,Thiruvananthapuram,T+3,2024,2
352,MER00352,Entertainment,Small,Delhi,New Delhi,T+1,2023,3
353,MER00353,Food & Dining,Medium,Rajasthan,Jodhpur,T+2,2019,7
354,MER00354,E-Commerce,Enterprise,Maharashtra,Mumbai,T+2,2023,3
355,MER00355,Retail,Small,Karnataka,Mangaluru,T+1,2020,6
356,MER00356,Education,Small,Karnataka,Mysuru,T+2,2020,6
357,MER00357,Fuel,Small,Kerala,Kochi,T+1,2022,4
358,MER00358,Healthcare,Small,Telangana,Warangal,T+1,2024,2
359,MER00359,Retail,Small,Maharashtra,Nagpur,T+2,2021,5
360,MER00360,Food & Dining,Small,Maharashtra,Nagpur,T+1,2022,4
361,MER00361,E-Commerce,Medium,Uttar Pradesh,Kanpur,T+1,2020,6
362,MER00362,Food & Dining,Medium,Maharashtra,Nagpur,T+1,2026,0
363,MER00363,E-Commerce,Enterprise,Kerala,Thiruvananthapuram,T+1,2026,0
364,MER00364,Travel,Medium,Telangana,Hyderabad,T+1,2023,3
365,MER00365,Retail,Medium,Delhi,New Delhi,T+1,2019,7
366,MER00366,Retail,Small,Uttar Pradesh,Lucknow,T+1,2022,4
