CustomerKey,CustomerID,CustomerSegment,State,City,Gender,AgeGroup,IncomeGroup,KYCStatus,JoinYear,CustomerTenure
44,CUST00044,Standard,Karnataka,Mysuru,Female,26-35,Low,Verified,2024,2
45,CUST00045,Standard,Maharashtra,Mumbai,Female,18-25,Middle,Verified,2025,1
46,CUST00046,Gold,Rajasthan,Udaipur,Female,36-45,Low,Verified,2023,3
47,CUST00047,Standard,Karnataka,Mysuru,Female,36-45,Middle,Verified,2024,2
48,CUST00048,Standard,Telangana,Hyderabad,Male,36-45,Middle,Verified,2024,2
49,CUST00049,Standard,Uttar Pradesh,Kanpur,Male,46-60,Middle,Verified,2021,5
50,CUST00050,Premium,Delhi,New Delhi,Female,36-45,Low,Verified,2024,2
51,CUST00051,Standard,Telangana,Warangal,Female,46-60,Middle,Verified,2019,7
52,CUST00052,Gold,Maharashtra,Nagpur,Male,26-35,Low,Verified,2022,4
53,CUST00053,Standard,Rajasthan,Jaipur,Male,26-35,High,Verified,2026,0
54,CUST00054,Standard,Maharashtra,Mumbai,Male,60+,Middle,Verified,2022,4
55,CUST00055,Gold,Tamil Nadu,Madurai,Female,36-45,Low,Verified,2020,6
56,CUST00056,Premium,Gujarat,Surat,Female,26-35,Middle,Verified,2026,0
57,CUST00057,Standard,Uttar Pradesh,Kanpur,Female,26-35,Middle,Verified,2023,3
58,CUST00058,Standard,Maharashtra,Mumbai,Male,36-45,Low,Verified,2026,0
59,CUST00059,Premium,Tamil Nadu,Madurai,Female,26-35,Middle,Verified,2022,4
60,CUST00060,Gold,Karnataka,Mysuru,Male,18-25,Middle,Verified,2025,1
61,CUST00061,Standard,Delhi,New Delhi,Female,46-60,Low,Verified,2025,1
62,CUST00062,Standard,Uttar Pradesh,Noida,Male,26-35,High,Verified,2022,4
63,CUST00063,Gold,Maharashtra,Pune,Female,26-35,High,Verified,2024,2
64,CUST00064,Gold,Uttar Pradesh,Noida,Male,26-35,Middle,Verified,2020,6
65,CUST00065,Premium,Uttar Pradesh,Lucknow,Male,46-60,Middle,Verified,2023,3
66,CUST00066,Standard,Kerala,Kozhikode,Female,18-25,Middle,Verified,2021,5
67,CUST00067,Standard,Telangana,Hyderabad,Male,26-35,Middle,Verified,2025,1
68,CUST00068,Standard,Delhi,New Delhi,Male,26-35,Low,Verified,2023,3
69,CUST00069,Standard,Tamil Nadu,Coimbatore,Male,26-35,Low,Verified,2026,0
70,CUST00070,Standard,Rajasthan,Udaipur,Male,60+,Middle,Verified,2025,1
71,CUST00071,Standard,Kerala,Kozhikode,Male,18-25,Middle,Verified,2026,0
72,CUST00072,Standard,Tamil Nadu,Coimbatore,Female,36-45,Middle,Verified,2022,4
73,CUST00073,Standard,Rajasthan,Udaipur,Female,26-35,Low,Verified,2021,5
74,CUST00074,Gold,Uttar Pradesh,Noida,Female,26-35,Middle,Verified,2026,0
75,CUST00075,Gold,Kerala,Kozhikode,Male,26-35,Low,Verified,2021,5
76,CUST00076,Standard,West Bengal,Siliguri,Male,26-35,Middle,Verified,2019,7
77,CUST00077,Standard,Kerala,Kochi,Male,26-35,Low,Verified,2024,2
78,CUST00078,Standard,Kerala,Kozhikode,Female,26-35,High,Verified,2026,0
79,CUST00079,Gold,Maharashtra,Mumbai,Male,18-25,Middle,Verified,2022,4
80,CUST00080,Standard,Rajasthan,Jaipur,Female,18-25,Low,Verified,2026,0
81,CUST00081,Gold,Delhi,New Delhi,Male,46-60,Low,Verified,2026,0
82,CUST00082,Standard,Tamil Nadu,Chennai,Male,46-60,High,Verified,2022,4
83,CUST00083,Standard,Uttar Pradesh,Lucknow,Male,26-35,High,Verified,2022,4
84,CUST00084,Gold,West Bengal,Kolkata,Female,18-25,Middle,Verified,2020,6
85,CUST00085,Standard,Kerala,Kozhikode,Male,46-60,Middle,Verified,2023,3
86,CUST00086,Standard,Tamil Nadu,Madurai,Male,36-45,Low,Pending,2026,0
87,CUST00087,Standard,Delhi,New Delhi,Male,26-35,Middle,Verified,2026,0
88,CUST00088,Standard,Maharashtra,Nagpur,Female,36-45,Low,Verified,2025,1
89,CUST00089,Standard,Tamil Nadu,Chennai,Male,46-60,Middle,Verified,2023,3
90,CUST00090,Standard,West Bengal,Siliguri,Female,60+,Middle,Verified,2024,2
91,CUST00091,Gold,Delhi,New Delhi,Male,26-35,High,Verified,2025,1
92,CUST00092,Gold,Tamil Nadu,Coimbatore,Female,26-35,Low,Verified,2019,7
93,CUST00093,Gold,Karnataka,Mangaluru,Male,46-60,Low,Verified,2023,3
94,CUST00094,Standard,Uttar Pradesh,Lucknow,Male,36-45,Middle,Verified,2024,2
95,CUST00095,Standard,Maharashtra,Nagpur,Female,36-45,High,Verified,2022,4
96,CUST00096,Standard,West Bengal,Kolkata,Male,36-45,Low,Verified,2026,0
97,CUST00097,Standard,Delhi,New Delhi,Male,26-35,Low,Verified,2021,5
98,CUST00098,Standard,Maharashtra,Pune,Male,18-25,Low,Verified,2025,1
99,CUST00099,Premium,Kerala,Thiruvananthapuram,Male,60+,Middle,Verified,2025,1
100,CUST00100,Standard,Tamil Nadu,Chennai,Male,18-25,Low,Verified,2026,0
101,CUST00101,Premium,Telangana,Warangal,Male,26-35,High,Verified,2019,7
102,CUST00102,Standard,Uttar Pradesh,Noida,Female,26-35,High,Verified,2022,4
103,CUST00103,Standard,West Bengal,Kolkata,Female,46-60,Middle,Verified,2021,5
104,CUST00104,Standard,Uttar Pradesh,Kanpur,Male,36-45,High,Verified,2020,6
105,CUST00105,Standard,Uttar Pradesh,Lucknow,Female,26-35,Low,Verified,2024,2
106,CUST00106,Standard,Telangana,Hyderabad,Male,18-25,Low,Verified,2026,0
107,CUST00107,Gold,Delhi,New Delhi,Male,46-60,Middle,Verified,2026,0
108,CUST00108,Gold,Karnataka,Mysuru,Male,18-25,Middle,Verified,2023,3
109,CUST00109,Gold,Kerala,Kochi,Male,46-60,Middle,Verified,2022,4
110,CUST00110,Standard,Rajasthan,Jodhpur,Male,18-25,Middle,Verified,2026,0
111,CUST00111,Premium,Delhi,New Delhi,Male,18-25,High,Verified,2026,0
112,CUST00112,Gold,Maharashtra,Mumbai,Male,26-35,Middle,Verified,2024,2
113,CUST00113,Standard,Karnataka,Mysuru,Male,26-35,Middle,Verified,2021,5
114,CUST00114,Gold,West Bengal,Kolkata,Female,46-60,Middle,Verified,2020,6
115,CUST00115,Standard,Maharashtra,Mumbai,Female,36-45,Middle,Verified,2023,3
116,CUST00116,Standard,Uttar Pradesh,Lucknow,Female,36-45,High,Verified,2025,1
117,CUST00117,Standard,Rajasthan,Jaipur,Male,46-60,Middle,Verified,2023,3
118,CUST00118,Standard,Rajasthan,Udaipur,Male,18-25,Low,Verified,2025,1
119,CUST00119,Standard,Maharashtra,Nagpur,Male,36-45,Low,Verified,2026,0
120,CUST00120,Standard,Rajasthan,Jodhpur,Female,26-35,Middle,Verified,2019,7
121,CUST00121,Gold,Uttar Pradesh,Kanpur,Male,36-45,Middle,Verified,2023,3
122,CUST00122,Premium,Maharashtra,Nagpur,Female,18-25,Middle,Verified,2025,1
123,CUST00123,Premium,Tamil Nadu,Coimbatore,Female,18-25,Middle,Verified,2023,3
124,CUST00124,Standard,West Bengal,Durgapur,Male,36-45,Low,Verified,2025,1
125,CUST00125,Standard,Rajasthan,Jodhpur,Male,46-60,Middle,Verified,2025,1
126,CUST00126,Standard,Maharashtra,Nagpur,Male,26-35,Low,Verified,2023,3
127,CUST00127,Gold,Maharashtra,Pune,Female,18-25,Middle,Verified,2022,4
128,CUST00128,Standard,Tamil Nadu,Coimbatore,Female,36-45,Low,Verified,2024,2
129,CUST00129,Standard,Rajasthan,Udaipur,Female,18-25,Middle,Verified,2026,0
130,CUST00130,Gold,Rajasthan,Jodhpur,Male,36-45,Middle,Verified,2020,6
131,CUST00131,Standard,Karnataka,Bengaluru,Male,36-45,Low,Verified,2024,2
132,CUST00132,Standard,Delhi,New Delhi,Male,18-25,Low,Verified,2023,3
133,CUST00133,Gold,Kerala,Kozhikode,Male,26-35,Middle,Verified,2021,5
134,CUST00134,Standard,Uttar Pradesh,Lucknow,Female,18-25,Middle,Verified,2022,4
135,CUST00135,Standard,Rajasthan,Udaipur,Female,46-60,Middle,Verified,2025,1
136,CUST00136,Standard,Kerala,Kozhikode,Female,46-60,Middle,Verified,2023,3
137,CUST00137,Standard,Karnataka,Mysuru,Male,46-60,Middle,Verified,2023,3
138,CUST00138,Standard,Uttar Pradesh,Noida,Male,18-25,High,Verified,2023,3
139,CUST00139,Gold,Maharashtra,Pune,Female,36-45,Low,Verified,2026,0
140,CUST00140,Standard,Uttar Pradesh,Kanpur,Male,46-60,Low,Verified,2021,5
141,CUST00141,Gold,Telangana,Warangal,Male,26-35,Low,Verified,2026,0
142,CUST00142,Standard,Rajasthan,Jodhpur,Male,26-35,Low,Verified,2026,0
143,CUST00143,Standard,Rajasthan,Jaipur,Female,36-45,Low,Verified,2024,2
144,CUST00144,Gold,Maharashtra,Mumbai,Male,26-35,Middle,Verified,2020,6
145,CUST00145,Gold,Maharashtra,Nagpur,Male,26-35,Low,Verified,2023,3
146,CUST00146,Standard,Tamil Nadu,Madurai,Male,36-45,Middle,Verified,2023,3
147,CUST00147,Premium,Kerala,Thiruvananthapuram,Male,26-35,Middle,Verified,2025,1
148,CUST00148,Standard,Uttar Pradesh,Lucknow,Female,46-60,Middle,Verified,2024,2
149,CUST00149,Standard,Rajasthan,Jodhpur,Male,36-45,Middle,Verified,2022,4
150,CUST00150,Gold,Telangana,Warangal,Female,46-60,High,Verified,2026,0
151,CUST00151,Standard,Karnataka,Mysuru,Female,26-35,Low,Verified,2024,2
152,CUST00152,Standard,Maharashtra,Pune,Male,36-45,High,Verified,2026,0
153,CUST00153,Standard,Karnataka,Bengaluru,Male,18-25,Low,Verified,2025,1
154,CUST00154,Standard,West Bengal,Siliguri,Female,36-45,Low,Verified,2025,1
155,CUST00155,Standard,Rajasthan,Jaipur,Female,36-45,Low,Verified,2022,4
156,CUST00156,Standard,Delhi,New Delhi,Male,26-35,High,Verified,2024,2
157,CUST00157,Standard,Kerala,Kochi,Male,60+,Middle,Verified,2025,1
158,CUST00158,Standard,Delhi,New Delhi,Male,26-35,Middle,Verified,2022,4
159,CUST00159,Standard,Delhi,New Delhi,Male,18-25,High,Verified,2021,5
160,CUST00160,Standard,Gujarat,Vadodara,Male,26-35,Middle,Verified,2026,0
161,CUST00161,Standard,Tamil Nadu,Coimbatore,Male,46-60,High,Verified,2019,7
162,CUST00162,Premium,Rajasthan,Udaipur,Male,18-25,Middle,Verified,2026,0
163,CUST00163,Gold,Tamil Nadu,Madurai,Male,60+,Middle,Verified,2024,2
164,CUST00164,Gold,Karnataka,Mangaluru,Female,36-45,Low,Verified,2020,6
165,CUST00165,Standard,Kerala,Kochi,Female,18-25,Low,Verified,2023,3
166,CUST00166,Standard,Rajasthan,Jodhpur,Female,18-25,Middle,Verified,2019,7
167,CUST00167,Standard,Telangana,Hyderabad,Male,26-35,Low,Verified,2026,0
168,CUST00168,Gold,Karnataka,Bengaluru,Female,26-35,Middle,Verified,2021,5
169,CUST00169,Standard,Karnataka,Mangaluru,Male,26-35,Middle,Verified,2026,0
170,CUST00170,Gold,Maharashtra,Mumbai,Male,18-25,Low,Verified,2022,4
171,CUST00171,Premium,Maharashtra,Mumbai,Male,46-60,High,Verified,2024,2
172,CUST00172,Standard,Rajasthan,Jaipur,Female,36-45,High,Verified,2024,2
173,CUST00173,Standard,Maharashtra,Mumbai,Male,26-35,Low,Verified,2021,5
174,CUST00174,Standard,Tamil Nadu,Coimbatore,Male,26-35,Middle,Verified,2020,6
175,CUST00175,Standard,West Bengal,Kolkata,Male,36-45,Middle,Verified,2025,1
176,CUST00176,Standard,Kerala,Kozhikode,Male,26-35,Middle,Verified,2025,1
177,CUST00177,Gold,Maharashtra,Pune,Female,46-60,High,Verified,2023,3
178,CUST00178,Standard,Tamil Nadu,Madurai,Male,26-35,High,Verified,2019,7
179,CUST00179,Standard,Karnataka,Mysuru,Male,26-35,Low,Verified,2026,0
180,CUST00180,Standard,Karnataka,Mangaluru,Female,18-25,Middle,Verified,2024,2
181,CUST00181,Premium,Delhi,New Delhi,Male,18-25,Middle,Verified,2026,0
182,CUST00182,Gold,Telangana,Hyderabad,Female,18-25,Low,Verified,2023,3
183,CUST00183,Premium,Maharashtra,Mumbai,Male,18-25,High,Verified,2021,5
184,CUST00184,Premium,Tamil Nadu,Madurai,Male,36-45,Low,Verified,2026,0
185,CUST00185,Standard,Karnataka,Mysuru,Female,26-35,Low,Verified,2024,2
186,CUST00186,Standard,Rajasthan,Udaipur,Male,36-45,Low,Verified,2026,0
187,CUST00187,Standard,Telangana,Hyderabad,Male,36-45,Middle,Verified,2026,0
188,CUST00188,Standard,Kerala,Kochi,Female,26-35,Middle,Verified,2025,1
189,CUST00189,Gold,Karnataka,Mysuru,Female,36-45,High,Verified,2024,2
190,CUST00190,Standard,Uttar Pradesh,Kanpur,Male,36-45,Low,Verified,2025,1
191,CUST00191,Standard,Tamil Nadu,Chennai,Male,18-25,High,Verified,2024,2
192,CUST00192,Standard,Maharashtra,Pune,Male,26-35,Middle,Verified,2019,7
193,CUST00193,Standard,Uttar Pradesh,Noida,Male,36-45,Low,Verified,2026,0
194,CUST00194,Gold,Uttar Pradesh,Lucknow,Male,18-25,High,Verified,2022,4
195,CUST00195,Standard,Rajasthan,Jodhpur,Male,26-35,High,Verified,2022,4
196,CUST00196,Gold,Uttar Pradesh,Kanpur,Female,26-35,Middle,Verified,2025,1
197,CUST00197,Standard,Maharashtra,Nagpur,Male,36-45,Low,Verified,2026,0
198,CUST00198,Standard,Delhi,New Delhi,Male,36-45,Middle,Verified,2022,4
199,CUST00199,Gold,Tamil Nadu,Madurai,Male,60+,Low,Pending,2023,3
200,CUST00200,Premium,Maharashtra,Pune,Female,26-35,Low,Verified,2025,1
201,CUST00201,Standard,Uttar Pradesh,Noida,Male,36-45,Middle,Verified,2023,3
202,CUST00202,Standard,Gujarat,Vadodara,Female,26-35,Low,Verified,2025,1
203,CUST00203,Standard,Rajasthan,Udaipur,Male,26-35,Low,Verified,2021,5
204,CUST00204,Standard,Telangana,Warangal,Female,18-25,Middle,Verified,2026,0
205,CUST00205,Gold,Gujarat,Ahmedabad,Female,46-60,Low,Verified,2023,3
206,CUST00206,Standard,Maharashtra,Nagpur,Female,36-45,Middle,Verified,2025,1
207,CUST00207,Gold,Maharashtra,Pune,Male,36-45,Middle,Verified,2020,6
208,CUST00208,Gold,Kerala,Kochi,Female,36-45,Low,Verified,2021,5
209,CUST00209,Standard,Rajasthan,Jodhpur,Male,26-35,Middle,Verified,2026,0
210,CUST00210,Standard,Tamil Nadu,Coimbatore,Female,26-35,Low,Verified,2025,1
211,CUST00211,Standard,Uttar Pradesh,Kanpur,Male,46-60,Middle,Verified,2026,0
212,CUST00212,Standard,Telangana,Warangal,Male,26-35,High,Verified,2023,3
213,CUST00213,Standard,Rajasthan,Jaipur,Female,18-25,Middle,Verified,2026,0
214,CUST00214,Standard,Karnataka,Mysuru,Male,26-35,Low,Verified,2020,6
215,CUST00215,Gold,Gujarat,Surat,Male,26-35,Low,Verified,2020,6
216,CUST00216,Standard,Tamil Nadu,Madurai,Male,46-60,Low,Verified,2025,1
217,CUST00217,Gold,Gujarat,Surat,Male,26-35,Low,Verified,2022,4
218,CUST00218,Standard,Karnataka,Mysuru,Male,60+,Low,Verified,2022,4
219,CUST00219,Gold,Gujarat,Vadodara,Male,18-25,Middle,Verified,2026,0
220,CUST00220,Premium,Telangana,Hyderabad,Male,26-35,Low,Verified,2025,1
221,CUST00221,Standard,Maharashtra,Nagpur,Male,18-25,Low,Verified,2025,1
222,CUST00222,Gold,Uttar Pradesh,Noida,Male,26-35,Middle,Verified,2024,2
223,CUST00223,Standard,West Bengal,Kolkata,Male,26-35,High,Verified,2026,0
224,CUST00224,Gold,Kerala,Thiruvananthapuram,Female,26-35,High,Verified,2025,1
225,CUST00225,Gold,Tamil Nadu,Chennai,Male,60+,Middle,Verified,2025,1
226,CUST00226,Standard,Maharashtra,Pune,Male,26-35,Low,Verified,2026,0
227,CUST00227,Standard,Tamil Nadu,Coimbatore,Female,18-25,High,Verified,2021,5
228,CUST00228,Standard,Maharashtra,Mumbai,Female,60+,Middle,Verified,2024,2
229,CUST00229,Standard,Telangana,Warangal,Male,36-45,Middle,Verified,2021,5
230,CUST00230,Premium,Maharashtra,Pune,Female,26-35,Low,Verified,2021,5
231,CUST00231,Gold,Delhi,New Delhi,Female,36-45,Middle,Verified,2024,2
232,CUST00232,Standard,Maharashtra,Pune,Male,36-45,Middle,Verified,2024,2
233,CUST00233,Gold,Maharashtra,Pune,Male,18-25,Middle,Verified,2024,2
234,CUST00234,Gold,Rajasthan,Jodhpur,Male,26-35,Low,Verified,2022,4
235,CUST00235,Standard,Rajasthan,Jaipur,Male,26-35,Low,Pending,2026,0
236,CUST00236,Standard,Gujarat,Surat,Female,26-35,High,Verified,2025,1
237,CUST00237,Standard,Karnataka,Bengaluru,Female,26-35,Middle,Verified,2023,3
238,CUST00238,Gold,Rajasthan,Jodhpur,Male,18-25,Middle,Verified,2023,3
239,CUST00239,Gold,Rajasthan,Udaipur,Male,60+,Low,Pending,2021,5
240,CUST00240,Standard,Kerala,Thiruvananthapuram,Male,36-45,Low,Verified,2023,3
241,CUST00241,Standard,Gujarat,Vadodara,Male,60+,Middle,Verified,2021,5
242,CUST00242,Gold,Maharashtra,Mumbai,Female,46-60,Middle,Verified,2024,2
243,CUST00243,Premium,Maharashtra,Pune,Male,26-35,High,Verified,2021,5
244,CUST00244,Gold,Kerala,Kozhikode,Female,26-35,High,Verified,2024,2
245,CUST00245,Standard,Kerala,Kozhikode,Male,18-25,Middle,Verified,2025,1
246,CUST00246,Standard,Tamil Nadu,Madurai,Female,18-25,Low,Verified,2026,0
247,CUST00247,Standard,Delhi,New Delhi,Male,46-60,Low,Verified,2026,0
248,CUST00248,Standard,Telangana,Warangal,Male,46-60,Middle,Verified,2025,1
249,CUST00249,Gold,Uttar Pradesh,Noida,Female,46-60,Low,Verified,2024,2
250,CUST00250,Standard,Uttar Pradesh,Kanpur,Female,46-60,Middle,Verified,2025,1
251,CUST00251,Gold,Telangana,Hyderabad,Female,18-25,Low,Verified,2025,1
252,CUST00252,Standard,Karnataka,Mangaluru,Female,46-60,High,Verified,2023,3
253,CUST00253,Gold,Karnataka,Bengaluru,Female,18-25,High,Verified,2026,0
254,CUST00254,Standard,West Bengal,Siliguri,Female,26-35,Middle,Verified,2026,0
255,CUST00255,Standard,Uttar Pradesh,Noida,Female,60+,Low,Verified,2022,4
256,CUST00256,Standard,Maharashtra,Pune,Male,36-45,Low,Rejected,2021,5
257,CUST00257,Standard,Karnataka,Bengaluru,Male,36-45,Low,Verified,2022,4
258,CUST00258,Premium,West Bengal,Siliguri,Male,26-35,Low,Verified,2025,1
259,CUST00259,Standard,Delhi,New Delhi,Female,36-45,Low,Verified,2022,4
260,CUST00260,Standard,Gujarat,Vadodara,Male,26-35,Middle,Verified,2021,5
261,CUST00261,Gold,Telangana,Hyderabad,Female,26-35,Middle,Verified,2025,1
262,CUST00262,Gold,Uttar Pradesh,Kanpur,Female,26-35,Low,Verified,2024,2
263,CUST00263,Standard,Uttar Pradesh,Noida,Male,18-25,Middle,Verified,2021,5
264,CUST00264,Premium,Karnataka,Mangaluru,Male,26-35,Low,Pending,2024,2
265,CUST00265,Standard,Gujarat,Ahmedabad,Male,26-35,Low,Verified,2025,1
266,CUST00266,Standard,Maharashtra,Mumbai,Male,60+,Middle,Verified,2025,1
267,CUST00267,Standard,Kerala,Kochi,Male,26-35,High,Verified,2026,0
268,CUST00268,Standard,Kerala,Kochi,Male,36-45,Middle,Verified,2025,1
269,CUST00269,Standard,Karnataka,Mangaluru,Male,18-25,Low,Verified,2025,1
270,CUST00270,Standard,Maharashtra,Mumbai,Male,26-35,Low,Verified,2026,0
271,CUST00271,Standard,Maharashtra,Nagpur,Female,26-35,Middle,Verified,2023,3
272,CUST00272,Gold,Telangana,Warangal,Female,26-35,High,Pending,2022,4
273,CUST00273,Standard,Maharashtra,Nagpur,Male,26-35,High,Verified,2026,0
274,CUST00274,Premium,West Bengal,Durgapur,Male,60+,Middle,Verified,2021,5
275,CUST00275,Gold,West Bengal,Durgapur,Female,26-35,Middle,Verified,2023,3
276,CUST00276,Standard,Telangana,Hyderabad,Male,46-60,Low,Verified,2023,3
277,CUST00277,Standard,Kerala,Thiruvananthapuram,Male,26-35,Low,Verified,2021,5
278,CUST00278,Standard,Delhi,New Delhi,Male,26-35,Low,Verified,2022,4
279,CUST00279,Gold,Kerala,Kozhikode,Male,46-60,Middle,Verified,2019,7
280,CUST00280,Standard,Maharashtra,Mumbai,Female,18-25,Middle,Verified,2022,4
281,CUST00281,Standard,Maharashtra,Nagpur,Male,26-35,Low,Verified,2025,1
282,CUST00282,Premium,Tamil Nadu,Coimbatore,Female,46-60,High,Verified,2025,1
283,CUST00283,Standard,Telangana,Hyderabad,Male,46-60,Low,Verified,2026,0
284,CUST00284,Standard,Maharashtra,Mumbai,Male,26-35,Middle,Verified,2024,2
285,CUST00285,Standard,Gujarat,Surat,Female,26-35,Middle,Verified,2024,2
286,CUST00286,Gold,Delhi,New Delhi,Female,26-35,Middle,Verified,2025,1
287,CUST00287,Gold,Kerala,Kozhikode,Male,46-60,Middle,Verified,2024,2
288,CUST00288,Standard,Gujarat,Vadodara,Male,36-45,Middle,Verified,2024,2
289,CUST00289,Standard,Telangana,Hyderabad,Male,26-35,Middle,Verified,2022,4
290,CUST00290,Gold,Rajasthan,Jodhpur,Male,26-35,Low,Verified,2025,1
291,CUST00291,Gold,Uttar Pradesh,Noida,Female,36-45,Low,Pending,2026,0
292,CUST00292,Gold,Tamil Nadu,Chennai,Female,26-35,Middle,Verified,2022,4
293,CUST00293,Standard,Tamil Nadu,Madurai,Male,18-25,High,Verified,2021,5
294,CUST00294,Premium,Telangana,Hyderabad,Male,26-35,Middle,Pending,2024,2
295,CUST00295,Standard,Karnataka,Mysuru,Male,18-25,High,Verified,2021,5
296,CUST00296,Standard,Maharashtra,Pune,Female,46-60,High,Verified,2025,1
297,CUST00297,Gold,Delhi,New Delhi,Male,18-25,Low,Verified,2026,0
298,CUST00298,Standard,Uttar Pradesh,Lucknow,Male,26-35,Middle,Verified,2021,5
299,CUST00299,Gold,Karnataka,Mangaluru,Male,18-25,Middle,Verified,2024,2
300,CUST00300,Standard,Maharashtra,Mumbai,Male,18-25,Middle,Verified,2024,2
301,CUST00301,Gold,Karnataka,Bengaluru,Male,26-35,Low,Verified,2021,5
302,CUST00302,Standard,West Bengal,Siliguri,Female,60+,High,Verified,2025,1
303,CUST00303,Gold,Telangana,Warangal,Female,26-35,Middle,Verified,2025,1
304,CUST00304,Standard,West Bengal,Durgapur,Female,26-35,Middle,Verified,2025,1
305,CUST00305,Standard,Delhi,New Delhi,Male,36-45,Middle,Verified,2026,0
306,CUST00306,Gold,Kerala,Kochi,Male,36-45,High,Verified,2022,4
307,CUST00307,Standard,Tamil Nadu,Madurai,Male,26-35,Middle,Verified,2026,0
308,CUST00308,Standard,Gujarat,Surat,Male,18-25,Low,Verified,2024,2
309,CUST00309,Standard,Rajasthan,Jaipur,Female,46-60,High,Verified,2021,5
310,CUST00310,Gold,Rajasthan,Udaipur,Male,26-35,Low,Verified,2024,2
311,CUST00311,Standard,West Bengal,Durgapur,Male,26-35,High,Pending,2025,1
312,CUST00312,Standard,Rajasthan,Udaipur,Male,46-60,Middle,Verified,2020,6
313,CUST00313,Standard,Gujarat,Surat,Female,36-45,High,Verified,2023,3
314,CUST00314,Premium,Delhi,New Delhi,Female,18-25,Middle,Rejected,2022,4
315,CUST00315,Standard,Delhi,New Delhi,Male,26-35,Middle,Verified,2023,3
